,date,open,close,high,low,volume,code,m5,m10,m30
124,2014/6/13,7.438,7.65,7.69,7.438,3453657,600000,7.589,7.6787,7.506466667
125,2014/6/20,7.65,7.627,7.76,7.548,4028263,600000,7.5812,7.6355,7.497033333
126,2014/6/27,7.635,7.57,7.682,7.561,3018883,600000,7.5698,7.6235,7.487533333
127,2014/7/4,7.578,7.654,7.68,7.578,2483093,600000,7.5956,7.6152,7.4748
128,2014/7/11,7.654,7.544,7.663,7.511,2729998,600000,7.609,7.6014,7.468633333
129,2014/7/18,7.536,7.612,7.637,7.511,2685015,600000,7.6014,7.5952,7.477066667
130,2014/7/25,7.604,7.924,7.966,7.561,6091210,600000,7.6608,7.621,7.499033333
131,2014/8/1,7.966,8.236,8.405,7.966,10139540,600000,7.794,7.6819,7.534033333
132,2014/8/8,8.287,8.051,8.397,8.017,6807012,600000,7.8734,7.7345,7.555766667
133,2014/8/15,8.076,8.169,8.211,8.042,4637934,600000,7.9984,7.8037,7.589033333
134,2014/8/22,8.177,8.051,8.279,7.958,4609860,600000,8.0862,7.8438,7.6155
135,2014/8/29,8.034,7.992,8.042,7.899,3546091,600000,8.0998,7.8803,7.641566667
136,2014/9/5,8.009,8.22,8.253,7.966,5517169,600000,8.0966,7.9453,7.674966667
137,2014/9/12,8.228,8.101,8.287,8.042,4355850,600000,8.1066,7.99,7.693666667
138,2014/9/19,8.068,8.312,8.363,8.026,9437718,600000,8.1352,8.0668,7.727266667
139,2014/9/26,8.296,8.203,8.296,8.093,6142228,600000,8.1656,8.1259,7.767166667
140,2014/9/30,8.228,8.228,8.279,8.186,2268562,600000,8.2128,8.1563,7.812633333
141,2014/10/10,8.253,8.296,8.388,8.211,4067227,600000,8.228,8.1623,7.853533333
142,2014/10/17,8.262,8.312,8.473,8.135,7851429,600000,8.2702,8.1884,7.8714
143,2014/10/24,8.38,8.169,8.397,8.152,5378303,600000,8.2416,8.1884,7.890266667
144,2014/10/31,8.118,8.608,8.76,7.933,10688692,600000,8.3226,8.2441,7.9222
145,2014/11/7,8.65,8.591,8.768,8.397,10781227,600000,8.3952,8.304,7.939933333
146,2014/11/14,8.886,9.199,9.604,8.793,19838324,600000,8.5758,8.4019,7.990233333
147,2014/11/21,9.232,9.106,9.35,8.751,9871472,600000,8.7346,8.5024,8.035866667
148,2014/11/28,8.92,10.464,10.532,8.819,24877246,600000,9.1936,8.7176,8.1286
149,2014/12/5,10.507,11.418,11.815,10.152,35068919,600000,9.7556,9.0391,8.2534
150,2014/12/12,11.3,10.954,11.95,10.304,29465183,600000,10.2282,9.3117,8.363
151,2014/12/19,10.802,11.891,12.144,10.515,25792889,600000,10.7666,9.6712,8.505133333
152,2014/12/26,11.967,12.464,12.827,11.232,24653127,600000,11.4382,10.0864,8.669766667
153,2014/12/31,12.996,13.241,13.401,12.414,15377039,600000,11.9936,10.5936,8.8619
154,2015/1/9,13.401,13.021,14.076,12.751,22335970,600000,12.3142,11.0349,9.040933333
155,2015/1/16,13.08,13.899,14.135,12.616,16652835,600000,12.9032,11.5657,9.25
156,2015/1/23,12.979,13.19,13.536,12.304,22050579,600000,13.163,11.9648,9.437333333
157,2015/1/30,13.131,12.211,13.156,12.085,13375172,600000,13.1124,12.2753,9.589233333
158,2015/2/6,11.865,11.891,12.49,11.772,11566574,600000,12.8424,12.418,9.734133333
159,2015/2/13,11.865,12.177,12.38,11.688,8897269,600000,12.6736,12.4939,9.8863
160,2015/2/17,12.177,12.211,12.304,12.034,2598852,600000,12.336,12.6196,10.0292
